221034, 10016, 2031CC1,  ,  ,  ,  ,  ,  , 
221037,  , 0842CE2, 08333, 10017,  ,  , 2031CC3,  , 
221040,  , 0842CE:, 23015, 1162DPPA5, 10013,  ,  , 08334, 
221043,  , 1730A3, 0397A8,  , 1162DPPA6, 08338,  , 10011, 
221046, 2301:, 08332,  , 0842CE7, 1730A8, 10010,  ,  , 
221049,  , 1201A1, 1162DPPA3, 08331,  , 1730A1, 23019, 10014, 
221052,  , 10019, 27072, 23014, 0397A1, 1113AAF1, 0842CE4, 1162DPPA2, 
221055, 1201A0, 23011,  ,  , 0842CE6, 0833;, 1730A0, 27074, 
221058, 08339,  , 1205A1, 23014,  , 2031CC2, 27076, 0842CE3, 
221061, 0397A3, 23017,  ,  , 27079, 0842CE0, 08337, 1113AAF8, 
221064,  , 1730A3, 23010,  , 10018,  , 0833:, 27078, 
221067, 27077, 0397A2, 23015, 10017,  ,  , 1162DPPA9, 2031CC0, 
221070,  , 1113AAF3, 1730A2,  ,  , 27070,  , 23012, 
221073, 0842CE5, 27071, 1122CT9, 1162DPPA5, 10013,  , 2031CC3, 23018, 
221076, 1162DPPA7, 0842CE2, 27072,  , 1730A8, 08338, 1205A3, 10011, 
221079,  , 1205A0, 1113AAF5, 1122CT3, 1162DPPA6, 27075, 23019, 10014, 
221082,  , 2031CC1, 08333, 23014, 1122CT4, 0397A6, 0842CE4,  , 
221085,  , 1162DPPA4, 1205A1,  , 1113AAF7, 0833;, 27076, 10011, 
221088, 10016,  , 27072, 08336,  , 2031CC2, 1730A5, 0842CE3, 
221091, 23013,  ,  ,  , 08330, 2031CC2, 10015, 1113AAF0, 
221094, 2301:, 0397A2,  , 0842CE7, 08335, 10010, 1122CT>, 27074, 
221097,  , 1205A0, 1730A2,  , 1122CT<, 1113AAF1, 08337, 23012, 
221100,  , 1201A1, 0397A8, 1730A7, 27079, 1113AAF9,  , 08334, 
221103,  , 1730A3, 1205A1, 1162DPPA5,  , 1122CT7, 23019, 10014, 
221106, 1162DPPA7, 08332,  ,  , 0842CE6, 1001:, 1730A0, 27074, 
221109,  , 1113AAF3, 1162DPPA3,  ,  , 0397A6, 27076, 1122CT5, 
221112,  , 10019, 27072, 23014, 1730A8, 1162DPPA8, 0842CE4, 1113AAF8, 
221115,  , 1205A0, 1122CT1,  , 1162DPPA6, 1730A1, 0833:, 27078, 
221118, 08339,  , 1113AAF5,  ,  , 2031CC2,  , 23012, 
221121,  , 0842CE:, 23010, 1113AAF4, 10018,  , 0397A5, 2031CC0, 
